"dataset","loci_name","alphabet","n_taxa","n_bp","pass_phi","pass_maxchi","pass_geneconv_inner","pass_geneconv_outer","pass_geneconv"
"Pease2016","ch11-s55400000","dna",29,33399,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch11-s55500000","dna",29,25441,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch11-s55600000","dna",29,24383,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch11-s55700000","dna",29,29167,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch11-s55800000","dna",29,19000,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch11-s55900000","dna",29,21488,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch11-s5600000","dna",29,33180,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch11-s56000000","dna",29,31651,TRUE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch11-s56100000","dna",29,29699,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch11-s56200000","dna",29,37000,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch11-s5700000","dna",29,8494,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch11-s5800000","dna",29,15964,TRUE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch11-s5900000","dna",29,17087,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch11-s600000","dna",29,21275,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch11-s6000000","dna",29,13607,FALSE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch11-s6100000","dna",29,16266,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch11-s6200000","dna",29,8367,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch11-s6400000","dna",29,15304,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch11-s6500000","dna",29,14072,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch11-s6600000","dna",29,7325,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch11-s700000","dna",29,38246,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch11-s7100000","dna",29,17236,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch11-s7200000","dna",29,14228,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch11-s7300000","dna",29,6766,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch11-s7700000","dna",29,6919,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch11-s7800000","dna",29,15993,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch11-s800000","dna",29,28232,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch11-s8000000","dna",29,11775,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch11-s8100000","dna",29,19987,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch11-s8300000","dna",29,12108,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch11-s8400000","dna",29,9942,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch11-s8600000","dna",29,16983,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch11-s8700000","dna",29,14202,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch11-s8900000","dna",29,4588,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch11-s900000","dna",29,28327,FALSE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch11-s9700000","dna",29,6634,FALSE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch11-s9800000","dna",29,10586,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s0","dna",29,33393,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch12-s100000","dna",29,37897,FALSE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch12-s1000000","dna",29,31330,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch12-s10500000","dna",29,6933,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch12-s1100000","dna",29,24425,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch12-s11000000","dna",29,2239,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s11200000","dna",29,2986,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s11300000","dna",29,6552,TRUE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch12-s1200000","dna",29,19487,TRUE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch12-s12100000","dna",29,7865,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s12700000","dna",29,7135,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch12-s12800000","dna",29,12892,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s1300000","dna",29,32172,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch12-s13900000","dna",29,2964,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s1400000","dna",29,28179,FALSE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch12-s14900000","dna",29,4508,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s1500000","dna",29,28245,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s15100000","dna",29,11579,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s1600000","dna",29,26486,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch12-s1700000","dna",29,19282,TRUE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch12-s1800000","dna",29,32268,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch12-s1900000","dna",29,25583,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch12-s200000","dna",29,33323,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch12-s2000000","dna",29,36437,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch12-s20400000","dna",29,583,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s2100000","dna",29,30639,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch12-s21400000","dna",29,4644,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s2200000","dna",29,23374,FALSE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch12-s2300000","dna",29,20173,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s23000000","dna",29,6564,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch12-s2400000","dna",29,32269,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch12-s2500000","dna",29,22944,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch12-s25900000","dna",29,8013,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch12-s2600000","dna",29,17229,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch12-s2700000","dna",29,25295,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s27700000","dna",29,3204,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s2800000","dna",29,21373,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch12-s2900000","dna",29,23155,TRUE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch12-s29000000","dna",29,4752,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s300000","dna",29,25395,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s3000000","dna",29,28977,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch12-s3100000","dna",29,28670,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch12-s31500000","dna",29,8633,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s31600000","dna",29,4426,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s31700000","dna",29,2644,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch12-s3200000","dna",29,26167,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch12-s3300000","dna",29,45566,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch12-s3400000","dna",29,27243,FALSE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch12-s3500000","dna",29,26187,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch12-s35500000","dna",29,9294,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s3600000","dna",29,23985,FALSE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch12-s36300000","dna",29,9134,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s36600000","dna",29,20402,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch12-s36700000","dna",29,16605,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch12-s36900000","dna",29,12076,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s3700000","dna",29,25106,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch12-s37100000","dna",29,7100,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s37200000","dna",29,10543,TRUE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch12-s37600000","dna",29,25841,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch12-s37700000","dna",29,8114,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s3800000","dna",29,25614,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s38100000","dna",29,5454,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s38200000","dna",29,10122,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s38500000","dna",29,16678,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch12-s38600000","dna",29,16783,TRUE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch12-s38700000","dna",29,18290,FALSE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch12-s3900000","dna",29,15057,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s39000000","dna",29,7129,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s39100000","dna",29,25086,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch12-s39200000","dna",29,16555,FALSE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch12-s39400000","dna",29,5323,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s39500000","dna",29,19301,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch12-s39600000","dna",29,15155,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch12-s39700000","dna",29,10880,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch12-s39800000","dna",29,9602,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch12-s400000","dna",29,30036,TRUE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch12-s4000000","dna",29,15278,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s40000000","dna",29,9523,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s40100000","dna",29,12822,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch12-s40300000","dna",29,8797,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s40600000","dna",29,10469,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch12-s40700000","dna",29,25861,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch12-s4100000","dna",29,19180,FALSE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch12-s4200000","dna",29,16384,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch12-s42500000","dna",29,7536,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s42600000","dna",29,4121,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s4300000","dna",29,10034,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s43000000","dna",29,11417,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s4400000","dna",29,24756,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch12-s4500000","dna",29,21470,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch12-s45300000","dna",29,9955,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s4600000","dna",29,26378,TRUE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch12-s46200000","dna",29,2463,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s46800000","dna",29,2163,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s4700000","dna",29,14717,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch12-s47500000","dna",29,16062,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch12-s4800000","dna",29,29844,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch12-s48100000","dna",29,19098,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s48200000","dna",29,2594,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s4900000","dna",29,20094,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch12-s500000","dna",29,44050,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch12-s5000000","dna",29,35797,FALSE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch12-s5100000","dna",29,11887,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s5200000","dna",29,8674,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch12-s52100000","dna",29,3199,TRUE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch12-s5300000","dna",29,10893,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch12-s53400000","dna",29,4352,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch12-s5400000","dna",29,23001,FALSE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch12-s54400000","dna",29,5865,TRUE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch12-s5500000","dna",29,17578,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch12-s5600000","dna",29,24999,FALSE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch12-s5700000","dna",29,15151,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch12-s5800000","dna",29,25990,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch12-s59200000","dna",29,6374,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s600000","dna",29,34485,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch12-s60000000","dna",29,8912,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch12-s61600000","dna",29,6739,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch12-s61700000","dna",29,20094,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch12-s61800000","dna",29,15700,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch12-s61900000","dna",29,27526,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch12-s62000000","dna",29,19890,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch12-s62100000","dna",29,19832,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s62200000","dna",29,18713,FALSE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch12-s62300000","dna",29,27252,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch12-s62400000","dna",29,19327,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s62500000","dna",29,17145,FALSE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch12-s62600000","dna",29,19050,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch12-s62800000","dna",29,16516,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch12-s62900000","dna",29,20778,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s63000000","dna",29,30784,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch12-s63100000","dna",29,18901,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch12-s63200000","dna",29,5811,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s63300000","dna",29,17739,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s63400000","dna",29,24344,TRUE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch12-s63500000","dna",29,27276,FALSE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch12-s63600000","dna",29,30630,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch12-s63700000","dna",29,23892,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s63800000","dna",29,18746,FALSE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch12-s63900000","dna",29,25593,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch12-s6400000","dna",29,22954,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch12-s64000000","dna",29,28951,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch12-s64100000","dna",29,39836,TRUE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch12-s64200000","dna",29,28943,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch12-s64300000","dna",29,20551,TRUE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch12-s64400000","dna",29,25725,TRUE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch12-s64500000","dna",29,1573,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch12-s64600000","dna",29,20038,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s64700000","dna",29,25433,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch12-s64800000","dna",29,35846,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch12-s64900000","dna",29,40618,FALSE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch12-s65000000","dna",29,36283,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch12-s65100000","dna",29,34883,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch12-s65200000","dna",29,30627,TRUE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch12-s65300000","dna",29,29839,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch12-s65400000","dna",29,42293,FALSE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch12-s65500000","dna",29,34692,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch12-s65600000","dna",29,32347,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch12-s65700000","dna",29,19921,TRUE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch12-s65800000","dna",29,18061,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch12-s65900000","dna",29,35818,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch12-s6600000","dna",29,23606,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch12-s66000000","dna",29,35742,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch12-s66100000","dna",29,40112,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch12-s66200000","dna",29,32108,FALSE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch12-s66300000","dna",29,33429,TRUE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch12-s66400000","dna",29,42592,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s66500000","dna",29,34315,FALSE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch12-s66600000","dna",29,40287,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch12-s66700000","dna",29,30987,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch12-s66800000","dna",29,42444,TRUE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch12-s66900000","dna",29,46327,TRUE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch12-s6700000","dna",29,13264,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s67000000","dna",29,35465,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch12-s67100000","dna",29,12769,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch12-s6800000","dna",29,10245,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch12-s700000","dna",29,24575,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch12-s7400000","dna",29,10648,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s7500000","dna",29,8988,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch12-s7600000","dna",29,4739,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s7700000","dna",29,10444,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch12-s800000","dna",29,28912,FALSE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch12-s900000","dna",29,23899,TRUE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch12-s9000000","dna",29,10300,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch12-s9900000","dna",29,12299,FALSE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11779","dna",29,1704,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11783","dna",28,819,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11784","dna",29,588,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11785","dna",29,780,FALSE,TRUE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL11788","dna",29,753,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11789","dna",29,615,TRUE,FALSE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL11790","dna",29,1020,FALSE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11792","dna",29,957,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11795","dna",29,1359,TRUE,FALSE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL11796","dna",29,1491,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11797","dna",29,1083,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11798","dna",29,933,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11803","dna",29,1164,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11806","dna",29,1734,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11807","dna",29,309,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11808","dna",29,1246,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11809","dna",28,759,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11812","dna",29,2058,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11813","dna",28,2346,TRUE,TRUE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL11815","dna",29,1038,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11817","dna",29,1173,TRUE,TRUE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL11818","dna",29,864,TRUE,TRUE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL11821","dna",26,1390,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11822","dna",29,828,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL11823","dna",29,375,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL11824","dna",29,474,TRUE,FALSE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL11825","dna",29,1044,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11827","dna",27,1491,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11828","dna",29,1641,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11830","dna",29,618,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11831","dna",29,1293,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11832","dna",29,1062,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11833","dna",29,1146,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11840","dna",29,1870,TRUE,TRUE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL11841","dna",28,999,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11843","dna",29,837,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11844","dna",29,1591,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11845","dna",29,1866,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11846","dna",29,2088,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11847","dna",29,1407,TRUE,FALSE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL11848","dna",29,300,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11850","dna",29,1041,TRUE,FALSE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL11854","dna",29,3045,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL11855","dna",27,1313,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11856","dna",29,957,TRUE,TRUE,TRUE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL11858","dna",29,308,TRUE,FALSE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11859","dna",27,633,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11860","dna",29,1165,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11862","dna",29,291,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11863","dna",28,1179,TRUE,FALSE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL11865","dna",29,1023,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11866","dna",29,2220,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL11868","dna",28,1032,TRUE,FALSE,FALSE,TRUE,FALSE
"Vanderpool2020","ORTHOMCL11870","dna",29,738,FALSE,FALSE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL11871","dna",28,477,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11872","dna",29,516,TRUE,TRUE,TRUE,TRUE,TRUE
"Vanderpool2020","ORTHOMCL11873","dna",29,3159,TRUE,FALSE,FALSE,FALSE,FALSE
"Vanderpool2020","ORTHOMCL11876","dna",29,702,TRUE,FALSE,FALSE,TRUE,FALSE
